name,add,lat,lng
California State University - San Marcos,"333 South Twin Oaks Valley Road, San Marcos, CA 92096",33.129122,-117.159769
California Western School of Law,"225 Cedar Street, San Diego, CA 92101",32.721719,-117.16249
San Diego Christian College,"2100 Greenfield Drive, El Cajon, CA 92019",32.798919,-116.902898
National University,"11255 North Torrey Pines Road, La Jolla, CA 92037",32.909854,-117.243279
Point Loma Nazarene University,"3900 Lomaland Drive, San Diego, CA 92106",32.718312,-117.25025
San Diego State University,"5500 Campanile Drive, San Diego, CA 92115",32.777853,-117.072283
University of California San Diego,"9500 Gilman Drive, La Jolla, CA 92093",32.882407,-117.234817
University of Phoenix,"9645 Granite Ridge Drive, Suite 200, San Diego, CA 92123",32.805231,-117.120254
University of San Diego,"5998 Alcala Park, San Diego, CA 92110",32.770782,-117.192115
Alliant International University,"10455 Pomerado Road, San Diego, CA 92131",32.897945,-117.101259
Thomas Jefferson School of Law,"1155 Island Avenue, San Diego, CA 92101",32.710147,-117.154159
Azusa Pacific University,"5353 Mission Center Rd., Ste. 300, San Diego, CA 92108",32.772064,-117.154222
San Diego Community College District,"3375 Camino del Rio South, San Diego, CA 92108
",32.776287,-117.120345
Grossmont College,"8800 Grossmont College Drive, El Cajon, CA 92020
",32.816495,-117.006304
MiraCosta College,"1 Barnard Drive, Oceanside, CA 92056
",33.191290,-117.302214
Palomar Community College,"1140 W. Mission Road, San Marcos, CA 92069
",33.150217,-117.184099
San Diego City College,"1313 Park Boulevard, San Diego, CA 92101
",32.722042,-117.153451
San Diego Mesa College,"7250 Mesa College Drive, San Diego, CA 92111
",32.803875,-117.163515
San Diego Miramar College,"10440 Black Mountain Road, San Diego, CA 92126
",32.908492,-117.118708
Southwestern College,"900 Otay Lakes Road, Chula Vista, CA 91910",32.639878,-116.996050
